ref,mosquito_species,pathogen,source,traits
Mottram_1986_JAustEntSoc,Culex annulirostris,NA,Shocket 2018,"pRH, nLR, pLA, 1/MDR"
Mpho_2001_Chemosphere,Culex quinquefasciatus,NA,Shocket 2020,"1/MDR, pLA"
Mpho_2002_EuroJEntom,Culex pipiens,NA,Shocket 2020,"1/MDR, pLA"
Mpho_2002_Heredity,Culex pipiens,NA,Shocket 2020,"1/MDR, pLA"
Murdock et al. 2016,Anopheles gambiae,none,Villena 2022,e2a
Murdock et al. 2016,Anopheles stephensi,none,Villena 2022,e2a
Murdock et al. 2019,Anopheles stephensi,none,Villena 2022,EFD
Muturi_2011_JMedEntom,Culex restuans,NA,Shocket 2020,"1/MDR, pLA"
Muturi_et_al_2011_JMedEnto,Aedes albopictus,NA,Mordecai 2017,"pEA, MDR"
Nayar_1972_J.Insect.Physiol.,Aedes taeniorhynchus,NA,Shocket 2020,1/mu
Oda_1980_JTropMed,Culex pipiens molestus,NA,Shocket 2020,"EPR, pO"
Oda_1980_JTropMed,Culex quinquefasciatus,NA,Shocket 2020,"EPR, pO"
Oda_1999_JAMMosqControlAssoc,Culex pipiens molestus,NA,Shocket 2020,"1/mu, pLA"
Oda_1999_JAMMosqControlAssoc,Culex quinquefasciatus,NA,Shocket 2020,"1/mu, pLA"
Olayemi and Ande 2009,Anopheles gambiae,none,Villena 2022,"e2a, EFD, MDR"
Olejnicek&Gelbic_2000_JofVectorEcology,Culex pipiens molestus,NA,Shocket 2020,"1/MDR, pLA"
Paaijmans et al. 2011,Anopheles stephensi,Plasmodium yoelii,Villena 2022,PDR
Paaijmans et al. 2013,Anopheles stephensi,Plasmodium yoelii,Villena 2022,PDR
Paaijmans et al. 2013,Anopheles stephensi,none,Villena 2022,"e2a, a, MDR"
Parker_1982_AnnEntomolSocAm,Aedes dorsalis,NA,Shocket 2020,"EPR, pO"
Paull_2017_ProcB,Culex quinquefasciatus,WNV,Shocket 2020,EIP
Poveda et al. 2008,Anopheles albimanus,Plasmodium falciparum,Villena 2022,PDR
Poveda et al. 2008,Anopheles albimanus,none,Villena 2022,"a, MDR"
Rae_1990_J_Med_Entom,Culex annulirostris,NA,Shocket 2018,"pLA, 1/MDR"
Rayah_1983_NedEntomolVerAmsterdam,Culex quinquefasciatus,NA,Shocket 2020,Egg viability
Reisen_1992_JMedEntomol,Culex quinquefasciatus,NA,Shocket 2020,GCD
Reisen_1992_JMedEntomol,Culex tarsalis,NA,Shocket 2020,GCD
Reisen_1993_J_Med_Entomology,Culex tarsalis,SLEV,Shocket 2020,"b, c, EIP"
Reisen_1993_J_Med_Entomology,Culex tarsalis,WEEV,Shocket 2020,"b, c, EIP"
Reisen_1995_JMedEntomol,Culex tarsalis,NA,Shocket 2020,"1/mu, 1/MDR, pLA"
Reisen_2006_JMedEntomol,Culex tarsalis,WNV,Shocket 2020,"b, EIP"
Reisen_etal_2006_JMedEntom,Culex tarsalis,SLEV,Mordecai 2017,PDR
Reisen_etal_2006_JMedEntom,Culex tarsalis,WEEV,Mordecai 2017,PDR
Reisen_etal_2006_JMedEntom,Culex tarsalis,WNV-NY99,Mordecai 2017,PDR
Reisen_etal_2006_JMedEntom,Culex univitattus,WNV-SA,Mordecai 2017,PDR
Rohani_2009,Aedes spp.,other,Mordecai 2017,EIP
"Rueda,Patel,Axtell,&Stinner_1990_JournalofMedicalEntomology",Culex quinquefasciatus,NA,Shocket 2020,pLA
Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Culex quinquefasciatus,NA,Shocket 2020,1/MDR
Rueda_et_al_1990_EntSocAm,Aedes aegypti,NA,Mordecai 2017,"MDR, pEA"
Russell_1986_AusJEntom,Culex annulirostris,NA,Shocket 2018,GCD
