Mosquito species,Parasite,Source,Trait names,Citation key,Reference
Anopheles stephensi,Plasmodium vivax and plasmodium malarie and plasmodium falciparum,Mordecai 2013,EIP,Knowles1943-fw,"Knowles & Basu, 1943"
Culex annulirostris,MVE,Shocket 2018,"EIP, bc",Kay1989-ah,Kay_1989_MedVetEntom
Culex annulirostris,NA,Shocket 2018,"pLA, pRH, 1/MDR, 1/mu, EFD",McDONALD1980-xz,McDonald_1980_AusJofEco
Culex annulirostris,NA,Shocket 2018,"pRH, nLR, pLA, 1/MDR",Mottram1986-vc,Mottram_1986_JAustEntSoc
Culex annulirostris,NA,Shocket 2018,"pLA, 1/MDR",Rae1990-lo,Rae_1990_J_Med_Entom
Culex annulirostris,NA,Shocket 2018,GCD,Russell1986-yh,Russell_1986_AusJEntom
Culex pipiens,NA,Shocket 2020,1/mu,Andreadis2014-if,Andreadis_2014_ParasRes
Culex pipiens,NA,Shocket 2020,"pO, 1/mu, 1/MDR, pLA",Ciota2014-ae,Ciota_2014_JMedEntom
Culex pipiens,NA,Shocket 2020,"GCD, EFOC, Egg viability, 1/MDR, pLA",Ju-lin2017-ky,Ju-lin_2017_ChinJVectorBiol&Control
Culex pipiens,NA,Shocket 2020,"1/MDR, pLA",Loetti2011-fb,Loetti_2011_JNatHist
Culex pipiens,NA,Shocket 2020,"GCD, 1/MDR, pLA",Madder1983-mn,Madder_1983_JMedEntom
Culex pipiens,NA,Shocket 2020,"1/MDR, pLA",Mpho2002-mj,Mpho_2002_EuroJEntom
Culex pipiens,NA,Shocket 2020,"1/MDR, pLA",Mpho2002-rn,Mpho_2002_Heredity
Culex pipiens,NA,Shocket 2020,"1/MDR, pLA",Ruybal2016-ds,Ruybal_2016_Parasites&Vectors
Culex pipiens,NA,Shocket 2020,"GCD, 1/mu",Ruybal2016-ds,Ruybal_2016_Parasites&Vectors
Culex pipiens,NA,Shocket 2020,"GCD, 1/MDR, pLA",Tekle1960-xy,Tekle_1960_AJTMH
Culex pipiens,NA,Shocket 2020,pO,Tekle1960-xy,Tekle_1960_AJTMH
Culex pipiens,SINV,Shocket 2020,c,Lundstrom1990-cp,Lundstr_m_1990_AmJTropMedHyg
Culex pipiens,WNV,Shocket 2020,"c, EIP",Dohm2002-yw,Dohm_2002_JMedEntomol
