Mosquito species,Parasite,traits,LaTeX_cite
Culex quinquefasciatus,NA,"MDR, lf, EFD, e2a, a, pO","\cite{Ciota2014-ae, Mogi1992-ua, Mpho2001-wt, Rueda1990-zf, Shelton1973-xv, Tekle1960-xy, Oda1999-xw, Oda1980-ha, Rayah1983-tk, Reisen1992-cd}"
Culex restuans,NA,"MDR, lf, e2a","\cite{Buth1990-sw, Ciota2014-ae, Madder1983-mn, Muturi2011-xd, Shelton1973-xv}"
Culex tarsalis,SLEV,"PDR, b, c","\cite{Reisen1993-ck, Reisen2006-cn}"
Culex tarsalis,WEEV,"PDR, b, bc, c","\cite{Kramer1983-di, Reisen1993-ck, Reisen2006-cn}"
Culex tarsalis,WNV,"MDR, PDR, b","\cite{Dodson2012-nz, Reisen2006-cn}"
Culex tarsalis,WNV-NY99,PDR,\cite{Reisen2006-cn}
Culex tarsalis,NA,"MDR, lf, a, e2a","\cite{Buth1990-sw, Reisen1995-gy, Reisen1992-cd, Dodson2012-nz}"
Culex theileri,NA,e2a,\cite{Van_der_Linde1990-jd}
Culex univitattus,WNV-SA,PDR,\cite{Reisen2006-cn}
Culex univittatus,WNV,"PDR, bc",\cite{Cornel1993-cu}
Culiseta melanura,NA,"MDR, a, e2a, pO","\cite{Mahmood1998-xd, Mahmood1997-jy}"
Ochlerotatus camptorhynchus,NA,"MDR, e2a",\cite{Barton2005-nv}
Ochlerotatus vigilax,RRV,"PDR, bc",\cite{Kay2002-li}
